,acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
24,0.964,['John Williams'],0.106,225667.0,3.7611166666666667,0.181,0.0,1m4ZjbibTvvmYIJyXAIuxv,0.853,2.0,0.407,-17.969,1.0,Fawkes the Phoenix,48.0,2002-11-11,0.0342,61.02,0.0593,2002.0
25,0.00024900000000000004,['Deftones'],0.269,299533.0,4.992216666666667,0.853,0.0,0cEg4i5ArOm50TMr9M64BE,0.000246,7.0,0.118,-4.647,0.0,Change (In the House of Flies),41.0,2002-02-19,0.0854,141.58100000000005,0.179,2002.0
26,0.000401,['My Chemical Romance'],0.278,132547.0,2.2091166666666666,0.936,0.0,1mWMGKUaL7EyYIIveqlKC0,0.0,7.0,0.335,-5.9860000000000015,1.0,This Is the Best Day Ever,45.0,2002,0.107,119.088,0.34,2002.0
27,0.114,['Johnny Cash'],0.489,156160.0,2.6026666666666665,0.426,0.0,2sq6zVcw0zr5go8ZqaUdUF,0.0504,9.0,0.117,-9.762,1.0,Flesh and Blood,46.0,2002-02-12,0.0393,81.354,0.521,2002.0
28,0.00856,['Red Hot Chili Peppers'],0.565,311693.0,5.194883333333333,0.7759999999999999,0.0,2AkjEtum3SrtNW4WHZErTA,0.000136,4.0,0.111,-4.1610000000000005,0.0,Dosed,49.0,2002-07-09,0.0282,104.346,0.326,2002.0
29,0.0313,['Maroon 5'],0.626,198200.0,3.3033333333333332,0.8,0.0,07oRM1c6VtzDpxjTn8w6Hm,0.0,9.0,0.0587,-5.085,0.0,Tangled,46.0,2002-06-25,0.0611,145.839,0.737,2002.0
30,0.239,['Los Tigres Del Norte'],0.84,243667.0,4.061116666666667,0.6990000000000001,0.0,160gAhKZb7sGKlLwUUk8IX,8.41e-06,6.0,0.127,-6.077000000000001,0.0,La Reina Del Sur,48.0,2002-01-01,0.0625,111.053,0.968,2002.0
31,0.0549,['Maroon 5'],0.7490000000000001,239440.0,3.990666666666667,0.531,0.0,7xlIrLvCs7digqxVI3LKMM,0.0,7.0,0.237,-6.636,1.0,Must Get Out,47.0,2002-06-25,0.0324,97.022,0.317,2002.0
32,1.33e-05,['System Of A Down'],0.406,46333.0,0.7722166666666667,0.96,0.0,2TyFfQ1OuubEwfxFvapfzC,0.87,0.0,0.182,-3.612,1.0,36,48.0,2002-11-26,0.115,188.74,0.727,2002.0
33,0.431,['Johnny Cash'],0.721,167667.0,2.79445,0.613,0.0,1EYl3ASOxlK4Fk4Q1bhDh4,0.0005650000000000001,9.0,0.205,-9.26,1.0,The One on the Right Is on the Left,46.0,2002-02-12,0.0302,98.477,0.812,2002.0
34,0.171,['Keith Urban'],0.6559999999999999,255747.0,4.26245,0.792,0.0,3fFSBcjVJn6POSCOdm20H0,0.0016,2.0,0.0357,-6.65,1.0,Who Wouldn't Wanna Be Me,42.0,2002-01-01,0.039,119.791,0.885,2002.0
35,0.759,['Johnny Cash'],0.657,226893.0,3.78155,0.624,0.0,279x1F6k9RLQ6qtCAgQTV7,0.0,10.0,0.966,-7.789,1.0,"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",44.0,2002-02-12,0.112,101.898,0.89,2002.0
36,0.8420000000000001,['Jay Chou'],0.52,231467.0,3.8577833333333333,0.459,0.0,7aGklaoRXNcuufJQGsly0X,0.0,11.0,0.0852,-7.017,1.0,回到過去,51.0,2002-07-30,0.0295,170.15400000000002,0.187,2002.0
37,0.38,['Avenged Sevenfold'],0.614,259800.0,4.33,0.636,0.0,018zT8xThRbMH2QeUoMlKQ,0.00459,7.0,0.1,-5.634,1.0,Warmness On The Soul,49.0,2002-03-19,0.0287,117.966,0.308,2002.0
38,0.7070000000000001,['Valentín Elizalde'],0.5770000000000001,235520.0,3.9253333333333336,0.473,0.0,2YBcpGHHvg9vfCosDvTeal,0.0,10.0,0.501,-5.107,1.0,Aca Entre Nos,49.0,2002-01-01,0.0685,131.601,0.928,2002.0
39,0.918,['Johnny Cash'],0.4920000000000001,192573.0,3.20955,0.266,0.0,58QomoMiMPhWfZwrqOmUt0,0.0,9.0,0.145,-11.946,1.0,Desperado,46.0,2002-01-01,0.0339,125.892,0.344,2002.0
40,0.125,['Beyoncé'],0.711,260200.0,4.336666666666667,0.454,0.0,1qgNiHh7QoSgzoFZEPwPNm,2.15e-06,0.0,0.071,-6.485,0.0,Be With You,43.0,2003-06-24,0.0904,74.928,0.782,2003.0
41,0.00209,['Britney Spears'],0.7090000000000001,223760.0,3.7293333333333334,0.565,0.0,1lK5iIMKifrxERzS3iimJH,0.0125,5.0,0.0901,-6.395,0.0,Breathe on Me,52.0,2003-11-13,0.0471,112.203,0.5710000000000001,2003.0
42,0.0556,['50 Cent'],0.8059999999999999,255667.0,4.261116666666667,0.847,1.0,0V4Aj5UcrbOeTsQAXziygL,0.0,11.0,0.0617,-1.788,1.0,U Not Like Me,42.0,2003-02-06,0.317,91.449,0.8320000000000001,2003.0
43,0.000184,['Godsmack'],0.245,259133.0,4.318883333333333,0.96,0.0,0bKZa2zldftYPRrSRscmG2,0.00268,7.0,0.0718,-4.7189999999999985,1.0,Straight Out Of Line,46.0,2003-04-08,0.175,184.042,0.3720000000000001,2003.0
44,0.00153,['Linkin Park'],0.488,187933.0,3.1322166666666664,0.995,0.0,6HZdbb05lEXLvcmee3ZXO2,0.0,1.0,0.911,-3.096,0.0,Don't Stay,52.0,2003-03-24,0.108,90.05799999999998,0.679,2003.0
45,0.119,['Death Cab for Cutie'],0.344,332813.0,5.546883333333333,0.7759999999999999,0.0,4sD9nPRNqWww4mADeEfJhi,0.12,11.0,0.112,-6.638,0.0,We Looked Like Giants,43.0,2003,0.0309,87.325,0.316,2003.0
46,0.311,['Jack Johnson'],0.8909999999999999,174840.0,2.914,0.618,0.0,33kOhqAdX4Jyq1lkkfJz6K,0.00499,4.0,0.0936,-8.742,0.0,Holes To Heaven,46.0,2003-01-01,0.0584,93.041,0.792,2003.0
47,0.0157,['Radiohead'],0.483,259973.0,4.332883333333333,0.5589999999999999,0.0,3wPLVTqp66miOokxN1cLbm,0.491,5.0,0.0562,-7.434,0.0,Sit Down. Stand Up,48.0,2003,0.0403,161.046,0.52,2003.0
48,0.00018,['Radiohead'],0.499,232533.0,3.8755499999999996,0.815,0.0,38WL6GlG9NHFiQS6JxV84r,0.721,7.0,0.299,-7.079,1.0,Myxomatosis,49.0,2003,0.0361,99.124,0.57,2003.0
